ID,NAME,VALUE,DATE,DOUBLED_VALUE,SQUARED_VALUE
ID0001,ITEM1,971,2025-07-08,1942,942841
ID0002,ITEM2,751,2025-08-20,1502,564001
ID0003,ITEM3,479,2026-04-18,958,229441
ID0004,ITEM4,185,2026-03-13,370,34225
ID0005,ITEM5,424,2025-05-18,848,179776
ID0006,ITEM6,565,2026-01-27,1130,319225
ID0007,ITEM7,82,2026-03-07,164,6724
ID0008,ITEM8,759,2026-04-10,1518,576081
ID0009,ITEM9,606,2025-12-02,1212,367236
ID0010,ITEM10,251,2025-05-18,502,63001
ID0011,ITEM11,813,2025-11-28,1626,660969
ID0012,ITEM12,865,2025-10-17,1730,748225
ID0013,ITEM13,996,2025-08-17,1992,992016
ID0014,ITEM14,96,2026-01-27,192,9216
ID0015,ITEM15,527,2026-04-28,1054,277729
ID0016,ITEM16,401,2025-12-12,802,160801
ID0017,ITEM17,38,2025-05-23,76,1444
ID0018,ITEM18,686,2025-09-15,1372,470596
ID0019,ITEM19,761,2025-06-09,1522,579121
ID0020,ITEM20,829,2025-12-01,1658,687241
ID0021,ITEM21,148,2025-06-17,296,21904
ID0022,ITEM22,699,2026-01-18,1398,488601
ID0023,ITEM23,288,2025-12-18,576,82944
ID0024,ITEM24,523,2026-02-18,1046,273529
ID0025,ITEM25,875,2025-10-21,1750,765625
ID0026,ITEM26,367,2025-06-14,734,134689
ID0027,ITEM27,703,2025-07-21,1406,494209
ID0028,ITEM28,334,2025-08-22,668,111556
ID0029,ITEM29,867,2025-05-11,1734,751689
ID0030,ITEM30,589,2025-10-07,1178,346921
ID0031,ITEM31,854,2026-03-06,1708,729316
ID0032,ITEM32,795,2025-05-13,1590,632025
ID0033,ITEM33,315,2025-07-14,630,99225
ID0034,ITEM34,634,2025-07-17,1268,401956
ID0035,ITEM35,747,2025-07-23,1494,558009
ID0036,ITEM36,126,2025-07-26,252,15876
ID0037,ITEM37,238,2026-02-27,476,56644
ID0038,ITEM38,238,2025-05-12,476,56644
ID0039,ITEM39,436,2025-12-19,872,190096
ID0040,ITEM40,100,2025-11-19,200,10000
ID0041,ITEM41,491,2026-04-14,982,241081
ID0042,ITEM42,94,2025-12-22,188,8836
ID0043,ITEM43,111,2026-02-28,222,12321
ID0044,ITEM44,772,2026-03-04,1544,595984
ID0045,ITEM45,960,2025-10-01,1920,921600
ID0046,ITEM46,624,2026-02-10,1248,389376
ID0047,ITEM47,323,2025-05-26,646,104329
ID0048,ITEM48,938,2025-07-06,1876,879844
ID0049,ITEM49,756,2025-08-22,1512,571536
ID0050,ITEM50,399,2025-10-14,798,159201
